sequencialPrecedente,tipoPrecedente,numeroPrecedente,dataPrimeiraAfetacao,dataJulgamento,dataPublicacaoAcordao,situacao,informacoesComplementares,questaoSubmetidaAJulgamento,teseFirmada,anotacoesNUGEPNAC,delimitacaoJulgado,entendimentoAnterior,referenciaLegislativa,referenciaSumular,sumulaOriginada,audienciaPublica,dataAudienciaPublica,orgaoJulgador,Assuntos,numeroRepercussaoGeralSTF,descricaoRepercussaoGeral
1625,Controvérsia,11,,,,Cancelada,Situação alterada de pendente para cancelada em: 11/4/2017,"Configuração de maus antecedentes em virtude de anotações na Folha de Antecedentes Criminais, que não representem reincidência.",,"O REsp n. 1.653.737/RJ teve sua indicação rejeitada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais(decisão publicada no DJe de 11/4/2017).A situação da presente controvérsia foi alterada para cancelada em razão do não envio de outros recursos representativos da controvérsia pelo Tribunal de origem.",,,,,,,,S3,"287- DIREITO PENAL, 10620- Parte Geral, 10621- Aplicação da Pena, 10628- Substituição da Pena, 3603- Crimes Previstos na Legislação Extravagante, 3607- Crimes de Tráfico Ilícito e Uso Indevido de Drogas, 3633- Crimes do Sistema Nacional de Armas",,
1632,Controvérsia,12,,,,Cancelada,Situação alterada de pendente para cancelada em: 25/5/2017.,Possibilidade de se obrigar o Poder Público a fornecer medicamento a pessoa necessitada sem necessidade de submeter o paciente à perícia médica do SUS.,,"A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais (decisão publicada no DJe de 25/05/2017).",,,,,,,,S1,"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 11884- Fornecimento de Medicamentos",,
1642,Controvérsia,13,,,,Cancelada,Situação alterada de pendente para cancelada em: 22/5/2017.,Utilização de inquéritos policiais e ações penais em curso como configuração de maus antecedentes que não representem reincidência para agravar a pena-base do réu.,,"A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais (decisão publicada no DJe de 22/5/2017).",,,,444,,,,S3,"287- DIREITO PENAL, 10621- Aplicação da Pena",,
1643,Controvérsia,14,,,,Vinculada a Tema,Situação alterada de pendente para cancelada em: 20/9/2017Situação alterada de cancelada para pendente em: 4/10/2018Situação alterada de pendente para vinculada a tema em: 11/3/2019,Se o início da contagem dos prazos para obtenção de eventuais benefícios na execução da pena é contado do trânsito em julgado de nova condenação do apenado.,,"Controvérsia vinculada ao TEMA 1006/STJ (ProAfR 31).O REsp n. 1.666.621/MT teve sua situação alterada para rejeitado pelo relator em razão da rejeição presumida da condição de representativo da controvérsia (art. 256-G do RISTJ).Em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais, os REsps 1.665.607/MT e 1.665.603/MT foram rejeitados da condição de representativos da controvérsia (decisões publicadas nos DJe de 13 e 20/9/2017).",,,,,,,,S3,"1209- DIREITO PROCESSUAL PENAL, 7942- Execução Penal e de Medidas Alternativas, 8928-  Prazo",,
1644,Controvérsia,15,,,,Cancelada,Situação alterada de pendente para cancelada em: 29/05/2017,Possibilidade de condenar o Poder Público a fornecer medicamento não registrado pela Anvisa.,,"A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais (decisão publicada no DJe de 29/05/2017).",,,,,,,,S1,"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 10064- Saúde, 11884- Fornecimento de Medicamentos",500,Dever do Estado de fornecer medicamento não registrado pela ANVISA.
1635,Controvérsia,16,,,,Vinculada a Tema,Situação alterada de pendente para vinculada a tema em: 7/6/2019.,"Ilegitimidade ativa de não associado para a liquidação da sentença proferida na ação civil pública n. 0808240-83.1993.8.26.0100, movida pelo Instituto de Defesa do Consumidor contra o Banco Mercantil S/A.",,"Controvérsia vinculada ao TEMA 948/STJ (ProAfR 42).O Ministro Raul Araújo registra no despacho publicado no DJe de 15/12/2016, a possibilidade de a tese a ser fixada no julgamento de mérito do REsp n. 1.438.263/SP (Tema reperitivo n. 948/STJ) repercutir ""em outras demandas idênticas, desde que ainda não apreciados, em definitivo, no âmbito do próprio Superior Tribunal de Justiça ou, em qualquer hipótese, do eg. Supremo Tribunal Federal"". REsp n. 1665317/SP, 1669102/SP, 1669104/SP, 1669106/SP, 1656250/SP e 1656273/SP - despacho determinando que se deixe ""de afetar o processamento do presente recurso especial ao rito previsto nos arts. 1.036 e 1.041 do Código de Processo Civil"" (DJe de 29/08/2017 E DJe de 31/08/2017).",,,,,,,,S2,"8842- Partes e Procuradores, 9493- Capacidade Processual, 9148- Liquidação / Cumprimento / Execução, 8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO",,
1637,Controvérsia,17,,,,Vinculada a Tema,Situação alterada de pendente para vinculada a tema em: 1/8/2017,Prazo prescricional para ajuizamento da ação de indenização - se é da data da construção da Usina Hidrelétrica do Manso ou da negativa de pagamento ao recorrente diante da não inclusão de seu nome no acordo entabulado perante a Justiça Federal.,,Controvérsia vinculada ao TEMA 978/STJ.,,,,,,,,S2,"899- DIREITO CIVIL, 10431- Responsabilidade Civil, 10439- Indenização por Dano Material, 5632- Prescrição e Decadência",,
1638,Controvérsia,18,,,,Vinculada a Tema,Situação alterada de pendente para vinculada a tema em: 5/2/2020,"Discute-se se a ordem de preferência prevista no art. 11 da LEF é rígida, ou não, e se a penhora de faturamento é medida excepcional.",,"Controvérsia vinculada ao TEMA 769/STJ (ProAfR 71).O REsp n. 1.666.542/SP teve sua situação alterada para rejeitado pelo relator em razão da rejeição presumida da condição de representativo da controvérsia (art. 256-G do RISTJ).Em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais, os REsps 1.682.623/SP, 1.780.737/SP, 1.780.680/SP e 1.780.736/SP foram rejeitados da condição de representativos da controvérsia (decisões publicadas nos DJe de 19 e 22/5/2019).",,,,,,,,S1,"9163- Penhora / Depósito/ Avaliação , 8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO",,
1645,Controvérsia,19,,,,Vinculada a Tema,Situação alterada de pendente para vinculada a tema em: 22/3/2019,Termo final dos juros moratórios devidos pela Fazenda pública em decorrência de título regularmente constituído na hipótese de haver oposição de embargos à execução.,,"Controvérsia vinculada ao TEMA 291/STJTese firmada no julgamento da QO no REsp n. 1.665.599/RS, na sessão da Corte Especial de 20/3/2019, nos termos da tese fixada no Tema 96 do STF:Incidem os juros da mora no período compreendido entre a data da realização dos cálculos e a da requisição ou do precatório (DJe de 2/4/2019).",,,,,,,,CE,"10673- Requisição de Pequeno Valor - RPV, 7699- Juros de Mora - Legais / Contratuais, 8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO",96,Incidência de juros de mora no período compreendido entre a data da conta de liquidação e a expedição do requisitório.
1646,Controvérsia,20,,,,Cancelada,Situação alterada de pendente para cancelada em: 5/10/2017,"Possibilidade de concessão de benefício de pecúlio post-mortem, em virtude de servidor falecido após a edição da Lei nº 9.717, de 27/11/1998.",,"A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais (decisão publicada nos DJes de 1/9/2017 e 5/10/2017).",,,,,,,,S1,"195- DIREITO PREVIDENCIÁRIO, 6094- Benefícios em Espécie, 6106- Pecúlios (Art. 81/5)",,
1647,Controvérsia,21,,,,Cancelada,Situação alterada de pendente para sobrestada em: 27/9/2017.Situação alterada de sobrestada para pendente em: 13/3/2024.Situação alterada de pendente para cancelada em: 17/7/2024.,"Incidência do Coeficiente de Equiparação Salarial - CES no cálculo do reajuste do encargo mensal subjacente aos contratos de mútuo do Sistema Financeiro da Habitação - SFH, antes da edição da lei 8.692, de 29 de julho de 1993.",,"VIDE TEMA 744/STJA situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais (decisão publicada no DJe de 22/7/2024).O Ministro Relator determinou a comunicação ao Presidente do TRF da 1ª Região, bem como ao Presidente do Tribunal de Justiça do Estado de São Paulo para que permaneçam suspensos os julgamentos dos processos em primeiro e segundo graus de jurisdição, em trâmite no Estado ou na região, envolvendo a controvérsia, a fim de aguardar o pronunciamento final da Corte Especial no CC n. 148.188/DF, no qual se decidirá sobre a competência interna - entre a Primeira e a Segunda Seções do STJ - para o julgamento da matéria em discussão (despachos publicado no DJe de 27/9/2017, 28/11/2017, 20/11/2018).",,,,,,,,S1,"4842- Reajuste de Prestações, 4840- Equivalência salarial, 9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",,
1649,Controvérsia,22,,,,Vinculada a Tema,Situação alterada de pendente para cancelada em: 25/10/2017Situação alterada de cancelada para vinculada a Tema em: 12/12/2017,Análise infraconstitucional acerca do preenchimento de requisitos para usucapião extraordinária em razão de a área usucapienda ser inferior ao módulo estabelecido em lei municipal.,,Controvérsia vinculada ao TEMA 985/STJ (ProAfR 4),,,,,,,,S2,"899- DIREITO CIVIL, 10432- Coisas, 10448- Propriedade, 10455- Aquisição, 10458- Usucapião Extraordinária",,
1661,Controvérsia,23,,,,Cancelada,Situação alterada de pendente para cancelada em: 04/10/2017,Possibilidade de delegação do poder de polícia do Estado para aplicação de infrações de trânsito por sociedade de economia mista.,,"A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais (decisão publicada no DJe de 04/10/2017).",,,,,,,,S1,"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 9997- Atos Administrativos, 10015- Fiscalização",,
1681,Controvérsia,24,,,,Vinculada a Tema,Situação alterada de pendente para vinculada a tema em: 15/12/2017,Possibilidade ou não de inclusão da TUST (Taxa de Uso do Sistema de Trasmissão de Energia Elétrica) e da TUSD (Taxa de Uso do Sistema de Distribuição de Energia Elétrica) na base de cálculo do ICMS.,,"Controvérsia vinculada ao TEMA 986/STJIRDR 224694826.2016.8.26.0000 (TJ/SP)IRDR 0016464-25.2016.8.16.0000 (TJ/PR)IRDR 0323339-12.2014.8.24.0023 (TJ/SC - IRDR 5)Em razão do disposto no art. 256-E, I, do RISTJ, que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais, foram rejeitados os REsps 1.669.635, 1.669.629, 1.704.768, 1.704.773 (decisão publicada nos DJes de 22/08/2017, 03/10/2017 e 28/11/2017).",,,,,,,,S1,"14- DIREITO TRIBUTÁRIO, 5916- Impostos, 5946- ICMS/ Imposto sobre Circulação de Mercadorias",956,Inclusão da Tarifa de Uso do Sistema de Transmissão (TUST) e da Tarifa de Uso do Sistema de Distribuição (TUSD) na base de cálculo do Imposto sobre Circulação de Mercadorias (ICMS) incidente sobre energia elétrica.
1701,Controvérsia,25,,,,Vinculada a Tema,Situação alterada de pendente para vinculada a tema em: 07/11/2017,"Questiona se o art. 55, § 2º, da Lei 8.213/91, que dispensa o pagamento de contribuições previdenciárias para fins de comprovação do tempo de serviço rural anterior à vigência da Lei 8.213/91, estende-se, ou não, ao caso em que o beneficiário pretende utilizar o tempo de serviço para contagem recíproca no regime estatutário, ou se está restrito ao regime geral de previdência.",,Controvérsia vinculada ao TEMA 609/STJ,,,,,,,,S1,"195- DIREITO PREVIDENCIÁRIO, 6184- Averbação/Cômputo de tempo de serviço  rural (empregado/empregador), 6118- Aposentadoria por Tempo de Contribuição (Art. 55/6), 10220- Regime Estatutário",,
1742,Controvérsia,26,,,,Vinculada a Tema,Situação alterada de pendente para cancelada em: 27/9/2017.Situação alterada de cancelada para pendente em: 9/6/2021.Situação alterada de pendente para vinculada a tema em: 6/10/2021.,Se há imprescindibilidade de laudo pericial firmado por perito oficial para o reconhecimento da qualificadora do rompimento de obstáculo nos crimes de furto.,,"Controvérsia vinculada ao TEMA 1107/STJ (ProAfR 147).Dados parcialmente recuperados via sistema Athos e Projeto Accordes.A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais (decisão publicada no DJe de 26/9/2017).",,,,,,,,S3,"287- DIREITO PENAL, 9676- Furto Qualificado (Art. 155, § 4o.)",,
1762,Controvérsia,27,,,,Vinculada a Tema,Situação alterada de pendente para vinculada a tema em: 7/11/2017.,"Legitimidade ad causam do Ministério Público para pleitear medicamento necessário ao tratamento de saúde de paciente, bem como acerca da admissão da União Federal como litisconsorte passiva necessária, nesta modalidade de demanda.",,Controvérsia vinculada ao TEMA 766/STJ.,,,,,,,,S1,"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 10028- Serviços, 10064- Saúde, 11884- Fornecimento de Medicamentos, 8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO",,
1781,Controvérsia,28,,,,Cancelada,Situação alterada de pendente para cancelada em: 09/02/2018,"Se a parte vencida deve ser condenada ao pagamento do ônus sucumbencial em razão do princípio da causalidade, quando não houver comprovação de prévio requerimento administrativo em ações de indenização de Seguro DPVAT, uma vez que a Lei nº 6.194/74 não exige o prévio requerimento administrativo do seguro obrigatório.",,"A situação da presente controvérsia foi alterada para cancelada em razão das decisões monocráticas nos REsps 1.683.302/MT e 1.683.301 (DJes de 06/02/2018 e 09/02/2018) de rejeição expressa, pela Ministra relatora Maria Isabel Gallotti.",,,,,,,,S2,"7621- Seguro, 9580- Espécies de Contratos, 899- DIREITO CIVIL",,
1782,Controvérsia,29,,,,Vinculada a Tema,Situação alterada de pendente para cancelada em: 29/11/2017.Situação alterada de cancelada para pendente em: 25/10/2019.Situação alterada de pendente para cancelada em: 7/5/2020.Situação alterada de cancelada para pendente em: 1/10/2021.Situação alterada de pendente para vinculada a tema em: 3/5/2022.,"1) Se os sócios - pessoas físicas - podem ser incluídos na recuperação judicial de sociedade empresarial rural da qual fazem parte, sem que tenham sido inscritos há mais de dois (02) anos na Junta Comercial.2) Se o produtor rural individual, ou seja, empresário rural - pessoa física - que exerce atividade empresarial há mais de dois (02) anos, pode pedir recuperação judicial, ainda que sua inscrição no Registro Público de Empresas Mercantis (Junta Comercial) tenha se efetivado há menos de dois (02) anos.",,"A Segunda Seção que, em sessão eletrônica iniciada em 22/11/2017 e finalizada em 28/11/2017, deliberou, vencido o relator, Ministro Marco Buzzi, não afetar os processos ao rito dos recursos repetitivos (ProAfR 2).Dados parcialmente recuperados via sistema Athos.Controvérsia vinculada ao TEMA 1145/STJ (ProAfR 198).",,,,,,,,S2,"9616- Empresas, 4993- Recuperação judicial e Falência",,
1763,Controvérsia,30,,,,Vinculada a Tema,Situação alterada de pendente para vinculada a tema em: 23/03/2018,"Possibilidade ou não de protesto de Certidão de Dívida Ativa (CDA) pela Fazenda Pública, por falta de pagamento do crédito exequendo.",,Controvérsia vinculada ao TEMA 777/STJ (ProAfR 8).,,,,,,,,S1,"14- DIREITO TRIBUTÁRIO, 6017- Dívida Ativa (Execução Fiscal), 7691- Inadimplemento, 5986- Crédito Tributário",,
1801,Controvérsia,31,,,,Vinculada a Tema,Situação alterada de pendente para vinculada a tema em: 27/02/2018,"Em caso de o devedor ter a seu favor o deferimento do plano de recuperação judicial:I - poderiam ou não ser realizados atos de constrição ou alienação de bens ao patrimônio do devedor, na execução fiscal;II - o juízo competente para determinar os atos de constrição ou alienação de bens do patrimônio do devedor, caso admissíveis, seria aquele no qual se processa a recuperação judicial ou o próprio juízo da execução.",,Controvérsia vinculada ao TEMA 987/STJ (ProAfR 5).,,,,,,,,S1,"4993- Recuperação judicial e Falência, 8828- Jurisdição e Competência, 9163- Penhora / Depósito/ Avaliação , 8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO",,
1802,Controvérsia,32,,,,Cancelada,Situação alterada de pendente para cancelada em: 29/11/2017.,"Possibilidade de se estender a servidores inativos e pensionistas a concessão da Gratificação de Desempenho de Atividade Jurídica-GDAJ, instituída pela Medida Provisória nº 2.048/00 (substituída pela Medida Provisória 2.229-43/01) paga a servidores em atividade, tendo em vista o questionamento sobre sua natureza, se genérica ou pro labore faciendo / propter laborem.",,"A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais (decisões publicadas nos DJes de 24/11/2017 e 29/11/2017).VIDE TEMA 448/STJ",,,,,,,,S1,"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 10219- Servidor Público Civil, 10305- Gratificações de Atividade",,
1804,Controvérsia,33,,,,Cancelada,Situação alterada de pendente para cancelada em: 5/12/2017.,"Obrigatoriedade do poder público de fornecer transporte especial referente ao trajeto residência/local de tratamento (ida e volta) a paciente portador de doença em estado avançado, comprovadamente reconhecido pelas instâncias ordinárias.",,"A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais (decisão publicada no DJe de 01/12/2017).",,,,,,,,S1,"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 10028- Serviços, 10064- Saúde",,
